arrival_date,week_number,arrival_month,n,seven_avg,label
2021-01-26,4,1,2,2,"January 26, 2021: Welcome Center begins recieving guests again"
2021-01-29,5,1,2,2,NA
2021-02-01,5,2,2,2,NA
2021-02-02,5,2,6,3.857142857142857,NA
2021-02-03,5,2,6,4.142857142857143,NA
2021-02-05,6,2,4,4.714285714285714,NA
2021-02-06,6,2,5,5.142857142857143,NA
2021-02-07,6,2,4,4.857142857142857,NA
2021-02-09,6,2,6,4.428571428571429,NA
2021-02-10,6,2,5,4.428571428571429,NA
2021-02-11,6,2,4,4,NA
2021-02-12,7,2,3,4.285714285714286,NA
2021-02-13,7,2,4,4.571428571428571,NA
2021-02-14,7,2,2,5.142857142857143,NA
2021-02-15,7,2,6,5.285714285714286,NA
2021-02-16,7,2,8,6.428571428571429,NA
2021-02-17,7,2,9,6.571428571428571,NA
2021-02-18,7,2,5,6.428571428571429,NA
2021-02-19,8,2,11,6.571428571428571,NA
2021-02-20,8,2,5,5.857142857142857,NA
2021-02-21,8,2,1,5.714285714285714,NA
2021-02-22,8,2,7,6.285714285714286,NA
2021-02-23,8,2,3,5.714285714285714,NA
2021-02-24,8,2,8,5.142857142857143,NA
2021-02-25,8,2,9,7.428571428571429,NA
2021-02-26,9,2,7,11.857142857142858,NA
2021-02-27,9,2,1,12,NA
2021-02-28,9,2,17,15.285714285714286,NA
2021-03-01,9,3,38,19.571428571428573,NA
2021-03-02,9,3,4,20,NA
2021-03-03,9,3,31,23.857142857142858,NA
2021-03-04,9,3,39,22.142857142857142,NA
2021-03-05,10,3,10,22.428571428571427,NA
2021-03-06,10,3,28,23,NA
2021-03-07,10,3,5,23.142857142857142,NA
2021-03-08,10,3,40,18.428571428571427,NA
2021-03-09,10,3,8,20.714285714285715,NA
2021-03-10,10,3,32,17.571428571428573,NA
2021-03-11,10,3,6,21.285714285714285,NA
2021-03-12,11,3,26,17.714285714285715,NA
2021-03-13,11,3,6,20.428571428571427,NA
2021-03-14,11,3,31,17,NA
2021-03-15,11,3,15,17.857142857142858,NA
2021-03-16,11,3,27,18.142857142857142,NA
2021-03-17,11,3,8,17.857142857142858,NA
2021-03-18,11,3,12,13.857142857142858,NA
2021-03-19,12,3,28,13.857142857142858,NA
2021-03-20,12,3,4,14.571428571428571,NA
2021-03-21,12,3,3,17.285714285714285,NA
2021-03-22,12,3,15,17.428571428571427,NA
2021-03-23,12,3,32,16.285714285714285,NA
2021-03-24,12,3,27,20,NA
2021-03-25,12,3,13,24.571428571428573,NA
2021-03-26,13,3,20,29,NA
2021-03-27,13,3,30,31.857142857142858,NA
2021-03-28,13,3,35,33.857142857142854,NA
2021-03-29,13,3,46,33.857142857142854,NA
2021-03-30,13,3,52,37.57142857142857,NA
2021-03-31,13,3,41,33.857142857142854,NA
2021-04-01,13,4,13,30.714285714285715,NA
2021-04-02,14,4,46,28.142857142857142,NA
