week_number,n,label
4,2,NA
5,16,NA
6,28,NA
7,37,NA
8,44,NA
9,137,NA
10,129,NA
11,125,NA
12,122,NA
13,237,237
14,164,NA
15,88,NA
16,101,NA
17,96,NA
18,122,NA
19,107,NA
20,90,NA
21,110,NA
22,129,NA
23,152,NA
24,149,NA
25,145,NA
26,246,NA
27,238,238
28,223,NA
29,209,NA
30,146,NA
31,153,NA
32,232,NA
33,248,NA
34,158,NA
35,336,NA
36,288,NA
37,391,NA
38,463,NA
39,561,561
40,370,NA
41,387,NA
42,50,50
43,114,NA
44,227,NA
45,453,NA
46,730,NA
47,495,NA
48,511,NA
49,92,92
50,193,NA
51,346,NA
52,422,422
53,125,125
54,661,NA
55,755,NA
56,367,NA
