country,n,percent
Venezuela,3682,29.41
Cuba,2589,20.68
Brazil,1617,12.92
Ecuador,1010,8.07
Nicaragua,974,7.78
Haiti,638,5.1
Mexico,568,4.54
Colombia,297,2.37
NA,260,2.08
Guatemala,250,2
Peru,179,1.43
Honduras,133,1.06
India,116,0.93
El Salvador,47,0.38
Romania,47,0.38
,29,0.23
Georgia,26,0.21
Russia,13,0.1
Uzbekistan,5,0.04
Kyrgyzstan,4,0.03
Turkey,4,0.03
Belize,3,0.02
Bolivia,3,0.02
Pakistan,3,0.02
Armenia,2,0.02
Bangladesh,2,0.02
Chile,2,0.02
Costa Rica,2,0.02
Jamaica,2,0.02
Kosovo,2,0.02
Nepal,2,0.02
Canada,1,0.01
China,1,0.01
Czech Republic,1,0.01
Democratic Republic of Congo,1,0.01
Dominican Republic,1,0.01
Panama,1,0.01
Senegal,1,0.01
Ukraine,1,0.01
United States,1,0.01
