,number_in_party,language,destination,method_of_travel,departure_date,company,country_of_origin,destination_city,arrival_date
0,1,Spanish,Arizona - AZ,,2021-01-26,Alaska,Mexico,,2021-01-26
1,1,Spanish,Arizona - AZ,,2021-01-26,,Mexico,,2021-01-26
2,1,Spanish,Utah - UT,,2021-01-29,,Venezuela,,2021-01-29
3,1,Mixteco,California - CA,,2021-01-29,,Mexico,,2021-01-29
4,1,Spanish,Arizona - AZ,,2021-02-01,,Cuba,,2021-02-01
5,1,Spanish,Maryland - MD,,2021-02-01,,Guatemala,,2021-02-01
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
7,1,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
8,1,Spanish,Tennessee - TN,,2021-02-02,,Venezuela,,2021-02-02
9,1,Spanish,New Jersey - NJ,,2021-02-02,,Ecuador,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
14,2,Spanish,New York - NY,,2021-02-03,,Ecuador,,2021-02-03
14,2,Spanish,New York - NY,,2021-02-03,,Ecuador,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
16,2,Spanish,California - CA,,2021-02-03,,Guatemala,,2021-02-03
16,2,Spanish,California - CA,,2021-02-03,,Guatemala,,2021-02-03
17,1,Spanish,Texas - TX,,2021-02-03,,Cuba,,2021-02-03
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
19,1,Spanish,Florida - FL,,2021-02-05,,Cuba,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
24,2,Spanish,Colorado - CO,,2021-02-06,,Venezuela,,2021-02-06
24,2,Spanish,Colorado - CO,,2021-02-06,,Venezuela,,2021-02-06
25,1,Spanish,Florida - FL,,2021-02-06,,Guatemala,,2021-02-06
26,2,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
26,2,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
27,1,Spanish,New York - NY,,2021-02-07,,Ecuador,,2021-02-07
28,1,Spanish,Arizona - AZ,,2021-02-07,,Mexico,,2021-02-07
29,2,Spanish,California - CA,,2021-02-07,,Mexico,,2021-02-07
29,2,Spanish,California - CA,,2021-02-07,,Mexico,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
31,1,Spanish,New Jersey - NJ,,2021-02-09,,Ecuador,,2021-02-09
32,1,Spanish,Florida - FL,,2021-02-09,,Cuba,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
34,1,Spanish,Florida - FL,,2021-02-09,,Cuba,,2021-02-09
35,2,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
35,2,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
36,2,Spanish,Texas - TX,,2021-02-09,,Venezuela,,2021-02-09
36,2,Spanish,Texas - TX,,2021-02-09,,Venezuela,,2021-02-09
37,1,Spanish,New Jersey - NJ,,2021-02-10,,Guatemala,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
39,2,Spanish,Utah - UT,,2021-02-10,,Venezuela,,2021-02-10
39,2,Spanish,Utah - UT,,2021-02-10,,Venezuela,,2021-02-10
40,3,Kichwa,Massachusetts - MA,,2021-02-10,,Ecuador,,2021-02-10
