,,
,,Timeline points from: https://investigativereportingworkshop.org/news/timeline-bidens-immigration-policy/
date,category,description
01/20/2021,"MPP (""Remain in Mexico"")",Suspension of Enrollments in MPP
03/08/2021,Temporary Protected Status,Venezuelans Granted TPS
03/31/2021,Detention,"Over 4,000 Migrants in TX Detention Facility"
05/22/2021,Temporary Protected Status,TPS Extended for Haitians
06/07/2021,International,VP Harris: ‘Do Not Come.’ 
06/16/2021,Domestic,Asylum Restrictions Rescinded
06/25/2021,Domestic,Border Arrests Surpass 1 Million in FY 2021
07/09/2021,Detention,Detention Ended for Pregnant Migrants
07/30/2021,Domestic,Expedited Deportations Resumed
08/02/2021,Title 42,CDC Orders Title 42 Extension
08/18/2021,Domestic,Administration Seeks to Speed Asylum Case Review
08/24/2021,"MPP (""Remain in Mexico"")",Court Requires Reinstatement of MPP
09/10/2021,Temporary Protected Status,"TPS extended for El Salvador, Nicaragua, Honduras"
09/16/2021,Title 42,Judge Blocks Title 42 for Families
09/17/2021,International,Thousands of Haitians Held Under Bridge
09/19/2021,Domestic,"4,000 Hatians Expelled to Haiti"
09/24/2021,International,Del Rio Bridge Camp Empty 
10/01/2021,Title 42,Appeals Court Allows Use of Title 42
10/15/2021,"MPP (""Remain in Mexico"")",DHS Announces Restart of MPP
10/22/2021,Domestic,Border Arrests Reach All-Time High
10/27/2021,Temporary Protected Status,Scope of TPS widened
10/29/2021,"MPP (""Remain in Mexico"")",Memo Ends MPP
11/16/2021,International,Countries Refuse to Welcome Migrants Back
12/02/2021,"MPP (""Remain in Mexico"")",MPP Resumes
12/16/2021,Detention,Families No Longer Held 
