stay_length,n,percent,label,peak
0,5580,23.584108199492814,NA,NA
1,10935,46.21724429416737,NA,10935
2,3664,15.486052409129334,NA,NA
3,1275,5.388841927303465,NA,NA
4,476,2.0118343195266273,NA,NA
5,232,0.9805579036348266,COVID-19 Re-testing,NA
6,416,1.7582417582417582,NA,416
7,94,0.397295012679628,NA,NA
8,57,0.24091293322062554,NA,NA
9,35,0.14792899408284024,NA,NA
10,50,0.2113271344040575,COVID-19 Re-testing,NA
11,455,1.9230769230769231,NA,455
12,131,0.5536770921386306,NA,NA
13,41,0.17328825021132713,NA,NA
14,34,0.1437024513947591,NA,NA
15,20,0.08453085376162299,NA,NA
16,83,0.35080304311073546,NA,83
17,21,0.08875739644970414,NA,NA
18,9,0.03803888419273035,NA,NA
19,19,0.08030431107354184,NA,NA
20,8,0.0338123415046492,NA,NA
21,4,0.0169061707523246,NA,NA
22,5,0.021132713440405747,NA,NA
24,4,0.0169061707523246,NA,NA
26,1,0.00422654268808115,NA,NA
32,1,0.00422654268808115,NA,NA
46,6,0.0253592561284869,NA,NA
53,3,0.01267962806424345,NA,NA
84,1,0.00422654268808115,NA,NA
