stay_length,number_in_party,n,percent,label,peak
0,1,1795,7.586644125105664,NA,NA
0,2,792,3.3474218089602705,NA,NA
0,3,1482,6.263736263736264,NA,NA
0,4,1072,4.530853761622993,NA,NA
0,5,300,1.267962806424345,NA,NA
0,6,96,0.4057480980557904,NA,NA
0,7,35,0.14792899408284024,NA,NA
0,8,8,0.0338123415046492,NA,NA
1,1,3039,12.844463229078615,NA,3039
1,2,2012,8.503803888419274,NA,2012
1,3,3507,14.822485207100591,NA,3507
1,4,1820,7.6923076923076925,NA,1820
1,5,440,1.8596787827557058,NA,440
1,6,102,0.43110735418427726,NA,102
1,7,7,0.02958579881656805,NA,7
1,8,8,0.0338123415046492,NA,8
2,1,601,2.540152155536771,NA,NA
2,2,656,2.772612003381234,NA,NA
2,3,1305,5.5156382079459005,NA,NA
2,4,812,3.4319526627218933,NA,NA
2,5,220,0.9298393913778529,NA,NA
2,6,42,0.17751479289940827,NA,NA
2,7,28,0.1183431952662722,NA,NA
3,1,212,0.8960270498732038,NA,NA
3,2,202,0.8537616229923921,NA,NA
3,3,429,1.8131868131868134,NA,NA
3,4,308,1.301775147928994,NA,NA
3,5,105,0.4437869822485207,NA,NA
3,6,12,0.0507185122569738,NA,NA
3,7,7,0.02958579881656805,NA,NA
4,1,95,0.40152155536770917,NA,NA
4,2,66,0.27895181741335584,NA,NA
4,3,144,0.6086221470836856,NA,NA
4,4,120,0.5071851225697379,NA,NA
4,5,45,0.19019442096365174,NA,NA
4,6,6,0.0253592561284869,NA,NA
5,1,65,0.27472527472527475,COVID-19 Re-testing,NA
5,2,34,0.1437024513947591,COVID-19 Re-testing,NA
5,3,54,0.22823330515638207,COVID-19 Re-testing,NA
5,4,64,0.2704987320371936,COVID-19 Re-testing,NA
5,5,15,0.06339814032121724,COVID-19 Re-testing,NA
6,1,248,1.048182586644125,NA,248
6,2,30,0.12679628064243448,NA,30
6,3,78,0.32967032967032966,NA,78
6,4,52,0.21978021978021978,NA,52
6,8,8,0.0338123415046492,NA,8
7,1,38,0.16060862214708369,NA,NA
7,2,6,0.0253592561284869,NA,NA
7,3,33,0.13947590870667792,NA,NA
7,4,12,0.0507185122569738,NA,NA
7,5,5,0.021132713440405747,NA,NA
8,1,23,0.09721048182586643,NA,NA
8,2,6,0.0253592561284869,NA,NA
8,3,6,0.0253592561284869,NA,NA
8,4,12,0.0507185122569738,NA,NA
8,5,10,0.042265426880811495,NA,NA
9,1,10,0.042265426880811495,NA,NA
9,2,8,0.0338123415046492,NA,NA
9,3,9,0.03803888419273035,NA,NA
9,4,8,0.0338123415046492,NA,NA
10,1,10,0.042265426880811495,COVID-19 Re-testing,NA
10,2,12,0.0507185122569738,COVID-19 Re-testing,NA
10,3,12,0.0507185122569738,COVID-19 Re-testing,NA
10,4,16,0.0676246830092984,COVID-19 Re-testing,NA
11,1,102,0.43110735418427726,NA,102
11,2,50,0.2113271344040575,NA,50
11,3,162,0.6846999154691462,NA,162
11,4,116,0.4902789518174133,NA,116
11,5,25,0.10566356720202875,NA,25
12,1,15,0.06339814032121724,NA,NA
12,2,32,0.1352493660185968,NA,NA
12,3,27,0.11411665257819104,NA,NA
12,4,52,0.21978021978021978,NA,NA
12,5,5,0.021132713440405747,NA,NA
13,1,8,0.0338123415046492,NA,NA
13,2,4,0.0169061707523246,NA,NA
13,3,15,0.06339814032121724,NA,NA
13,4,4,0.0169061707523246,NA,NA
13,5,10,0.042265426880811495,NA,NA
14,1,10,0.042265426880811495,NA,NA
14,3,12,0.0507185122569738,NA,NA
14,4,12,0.0507185122569738,NA,NA
15,1,2,0.0084530853761623,NA,NA
15,2,4,0.0169061707523246,NA,NA
15,3,6,0.0253592561284869,NA,NA
15,4,8,0.0338123415046492,NA,NA
16,2,14,0.0591715976331361,NA,14
16,3,36,0.1521555367709214,NA,36
16,4,28,0.1183431952662722,NA,28
16,5,5,0.021132713440405747,NA,5
17,1,2,0.0084530853761623,NA,NA
17,2,2,0.0084530853761623,NA,NA
17,3,12,0.0507185122569738,NA,NA
17,5,5,0.021132713440405747,NA,NA
18,1,2,0.0084530853761623,NA,NA
18,3,3,0.01267962806424345,NA,NA
18,4,4,0.0169061707523246,NA,NA
19,3,9,0.03803888419273035,NA,NA
19,5,10,0.042265426880811495,NA,NA
20,1,2,0.0084530853761623,NA,NA
20,2,2,0.0084530853761623,NA,NA
20,4,4,0.0169061707523246,NA,NA
21,1,2,0.0084530853761623,NA,NA
21,2,2,0.0084530853761623,NA,NA
22,5,5,0.021132713440405747,NA,NA
24,1,1,0.00422654268808115,NA,NA
24,3,3,0.01267962806424345,NA,NA
26,1,1,0.00422654268808115,NA,NA
32,1,1,0.00422654268808115,NA,NA
46,6,6,0.0253592561284869,NA,NA
53,3,3,0.01267962806424345,NA,NA
84,1,1,0.00422654268808115,NA,NA
