x,y,fips,abbr,full
1245764.306,-1299748.488,1,AL,Alabama
-1207947.593,-1848766.913,2,AK,Alaska
-1073378.614,-1161723.89,4,AZ,Arizona
679584.1243,-1086852.68,5,AR,Arkansas
-1686172.247,-812558.6289,6,CA,California
-479799.0805,-650936.9345,8,CO,Colorado
2194986.562,-6195.846851,9,CT,Connecticut
2098575.407,-388457.7039,10,DE,Delaware
1958221.245,-401371.0896,11,DC,District of Columbia
1841723.161,-1755063.862,12,FL,Florida
1588051.644,-1267172.772,13,GA,Georgia
-187398.2403,-2252214.909,15,HI,Hawaii
-1185882.882,-49488.58182,16,ID,Idaho
900412.9299,-474930.2861,17,IL,Illinois
1178615.324,-498709.9192,18,IN,Indiana
535395.2668,-307807.3089,19,IA,Iowa
147825.6399,-720182.7548,20,KS,Kansas
1359588.273,-684028.2235,21,KY,Kentucky
699406.3113,-1416729.952,22,LA,Louisiana
2345369.546,484202.304,23,ME,Maine
1951365.072,-353313.8808,24,MD,Maryland
2186898.443,79714.15966,25,MA,Massachusetts
1235664.285,-127072.1923,26,MI,Michigan
416754.3808,238185.5875,27,MN,Minnesota
959109.0447,-1231809.838,28,MS,Mississippi
654501.6274,-730897.8568,29,MO,Missouri
-699884.0223,263582.6382,30,MT,Montana
30351.34697,-388990.8011,31,NE,Nebraska
-1433631.761,-429090.0321,32,NV,Nevada
2237160.721,198875.6344,33,NH,New Hampshire
2120271.553,-268279.4692,34,NJ,New Jersey
-555630.7627,-1146019.443,35,NM,New Mexico
2005703.612,97056.48863,36,NY,New York
1940021.546,-817519.0972,37,NC,North Carolina
-35330.21874,275101.9423,38,ND,North Dakota
1430425.336,-395386.9292,39,OH,Ohio
329819.9135,-1054012.403,40,OK,Oklahoma
-1567827.198,67269.59069,41,OR,Oregon
1844595.812,-208003.9839,42,PA,Pennsylvania
2308742.756,34965.82737,44,RI,Rhode Island
1787036.894,-1044547.671,45,SC,South Carolina
-22071.25117,-58336.17955,46,SD,South Dakota
1226004.383,-920653.9261,47,TN,Tennessee
183406.4907,-1558446.365,48,TX,Texas
-995227.7677,-595718.4824,49,UT,Utah
2117966.75,312422.876,50,VT,Vermont
1887217.372,-571875.8283,51,VA,Virginia
-1503988.101,461676.4188,53,WA,Washington
1630252.97,-564449.9716,54,WV,West Virginia
789609.1051,34956.86842,55,WI,Wisconsin
-620855.7464,-193038.389,56,WY,Wyoming
